graph,algo,k,seed,n,m,read_time,running_time,matching_size,matching_weight
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp,kMM_1,16,2,2097152,49251994,31.406937,20.917337,6420439,410139808502.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,0,2097152,49251994,31.533191,145.648532,6380549,408751662383.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,1,2097152,49251994,31.776637,147.279757,6380546,408751588457.00
rmat_s21_ef24_0.55_0.15_0.15_0.15_exp,MRepLM_1,16,2,2097152,49251994,27.506342,105.711596,6380537,408751506455.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp,kMM_1,16,0,4194304,100561270,67.559564,100.258781,26337491,1618161187094.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp,kMM_1,16,1,4194304,100561270,66.572049,99.428820,26337491,1618161187094.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp,kMM_1,16,2,4194304,100561270,57.003422,78.926424,26337491,1618161187094.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,0,4194304,100561270,64.432519,296.606537,26309608,1619459274473.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,1,4194304,100561270,66.527661,299.970741,26309620,1619459490010.00
rmat_s22_ef24_0.45_0.15_0.15_0.25_exp,MRepLM_1,16,2,4194304,100561270,67.702969,209.127645,26309613,1619460155763.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp,kMM_1,16,0,4194304,100662680,68.474471,118.523750,32593786,2123058961266.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp,kMM_1,16,1,4194304,100662680,69.344134,117.708555,32593786,2123058961266.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp,kMM_1,16,2,4194304,100662680,55.242128,87.574358,32593786,2123058961266.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,0,4194304,100662680,68.652652,199.068433,32645562,2141286747491.00
rmat_s22_ef24_0.25_0.25_0.25_0.25_exp,MRepLM_1,16,1,4194304,100662680,69.819257,196.772955,32645460,2141288493635.00
